,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
10,Data Scientist,-1,"Exo Freight provides next-generation technology that is transforming trucking logistics. Every day in the US, there are still hundreds of thousands of truck loads that are booked and coordinated by phone, fax or email. Exo Freight automates the process and adds logistics, banking, and management technology to help shippers like Walmart manage and source trucking capacity, and to help trucking companies manage their fleet and get paid quickly. Our starting point is open deck shipping - a $135 Billion dollar market - which is how you transport large and odd shaped loads.
About The Role
As a Data Scientist on the Data Science team, you will own the pricing model and an intelligent system designed to comprehend various documents, such as the bill of lading. By closely collaborating with experts in pricing, document intelligence, and machine learning, you will contribute to the development of world-class automated decision-making. Your role will involve making precise and timely pricing predictions, which are crucial to EXO Freight's long-term success and ongoing market leadership.",-1,"Exo Freight
5.0",Michigan,-1,-1,-1,-1,-1,-1,-1,-1
11,Data Scientist,$84K - $127K (Glassdoor est.),"Mosaic Data Science, located in the Northern Virginia/Washington, DC Metro area,
encourages qualified data scientists to contact us regarding current full-time, salaried
consulting opportunities in the United States and Canada.
Mosaic Data Science is a dynamic, growing data science consultancy solving some of the
most complex and interesting problems in industry. At Mosaic you’ll contribute to data
science projects requiring a variety of analytical and business skills in many verticals,
including logistics, retail, utilities, healthcare, telecommunications, media, oil and gas, and
manufacturing. You’ll work with talented, creative, and self-motivated colleagues who hold
themselves to very high standards of professionalism and quality. You will have an
opportunity to interface directly with customers; part-time travel to customer sites may be
required. Telecommute options are available for experienced candidates. You can expect
your responsibilities to grow as quickly as you’re willing and able to meet them. You’ll enjoy
a fantastic benefits package that includes profit sharing and generous personal leave,
professional development opportunities, as well as first-rate healthcare and retirement
benefits. Most folks who join Mosaic stay here for a long time.


Bachelor’s degree or higher in applied math, statistics, operations research,
computer science, engineering, physics, cognitive science, or a related field;
Master’s/PhD preferred
Working knowledge of statistics, machine learning, optimization, data visualization,
computer programming, and database systems
Practical experience with R or Python and relevant data manipulation, visualization,
and machine learning libraries
1+ years of experience applying technical skills to real-world business problems
Strong written and verbal communication skills, a high level of professionalism, and
a positive & collaborative approach
Willingness and ability to learn new skills and tools quickly on the job
Must be a US or Canadian Citizen or Permanent Resident
All qualified applicants will receive consideration for employment and will not be
discriminated against on the basis of race, color, religion, sex, sexual orientation, gender
identity, national origin, age, disability, or protected veteran status. Mosaic Data Science
takes affirmative action in support of its policy to employ and advance in employment
individuals who are minorities, women, protected veterans, and individuals with disabilities.
www.mosaicdatascience.com",5.0,"Mosaic Data Science
5.0","Leesburg, VA",-1,51 to 200 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
12,Data Scientist (Remote USA ONLY),-1,"Company Description

Experian is the world’s leading global information services company. During life’s big moments – from buying a home or a car, to sending a child to college, to growing a business by connecting with new customers – we empower consumers and our clients to manage their data with confidence. We help individuals to take financial control and access financial services, businesses to make smarter decisions and thrive, lenders to lend more responsibly, and organizations to prevent identity fraud and crime.
We have 20,000 people operating across 44 countries and every day we’re investing in new technologies, talented people, and innovation to help all our clients maximize every opportunity
We are thrilled to share that FORTUNE has named Experian one of the 100 Best Companies to Work For. In addition, for the last five years we’ve been name in the top",4.3,"Experian
4.3","Costa Mesa, CA",-1,10000+ Employees,1980,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),-1
13,Data Scientist,Employer Provided Salary:$99K,"Labor Condition Application Posting Information
H-1B non-immigrant workers are being sought by WinWire Technologies, Inc. through the filing of a labour condition application with the Employment and Training Administration of the U.S. Department of Labour.
Employment Information:
1. Location of Employment (City, State):
Exelixis, Inc. – 1851 Harbor Bay Parkway, Alameda, CA 94502

2. H-1B Job Title:
Data Scientist",4.0,"WinWire
4.0","Harrison, NJ",-1,501 to 1000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
14,Analytical Data Scientist,$75K - $110K (Glassdoor est.),"Responsibilities:
Collect, manage, analyze, and interpret complex scientific data from multiple sources to support technology development and clinical validation.
Develop, validate, and optimize data-driven models and pipelines for analyzing genomics, microbiology, and molecular biology data.
Develop and implement algorithms for data normalization, clustering, classification, and feature selection.
Contribute to the design, execution, and interpretation of experimental data generated from in-house R&D and customer studies.
Collaborate with cross-functional teams to deliver high-quality results.",4.1,"fluxtek Solutions
4.1","Durham, NC",-1,Unknown,-1,Self-employed,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
15,Data Scientist,Employer Provided Salary:$70K - $140K,"Develops, validates and executes algorithms and predictive models to investigate problems, detect patterns and recommend solutions

Explores, examines and interprets large volumes of data in various forms

Performs analyses of structured and unstructured data to solve moderately complex business problems

Utilizing advanced statistical techniques and mathematical analyses

Develops data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs

Uses data visualization techniques to effectively communicate analytical results and support business decisions

Creates and evaluates the data needs of assigned projects and assures the integrity of the data

Explores existing data and recommends additional sources of data for improvements

Documents projects including business objectives, data gathering and processing, detailed set of results and analytical metrics


The typical pay range for this role is:
Minimum: 70,000
Maximum: 140,000

This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above.

In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company's 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (PTO) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies.

For more detailed information on available benefits, please visit


1+ years of relevant analytic experience

1+Experience programming using R or Python

1+Experience in SQL


Demonstrates good written and verbal communication skills. Able to present information to various audiences

Effectively resolves problems and roadblocks as they occur

Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization

Ability to work with large data sets from multiple data sources


Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline.

Master's degree preferred


Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.",3.1,"CVS Health
3.1","New York, NY",-1,10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),-1
16,Data Scientist,$82K - $116K (Glassdoor est.),"Company Description
Govini is the leading Commercial Data company in the Defense Technology space. Built by Govini, Ark.ai is used at scale across the National Security sector of the U.S. federal government. This platform enables government analysts, program managers, and decision-makers to gain unprecedented visibility into the Companies, Capabilities, and Capital in National Security to solve challenges pertaining to Acquisition, Foreign Influence & Adversarial Capital, Nuclear Modernization, Procurement, Science & Technology, and Supply Chain. Govini has offices in Arlington, Virginia, San Francisco, California, and Pittsburgh, Pennsylvania.

We are seeking an inquisitive data scientist to join our team and work with our various datasets to find connections, knowledge, and potential issues in order to help our government clients make more informed decisions.

Your role on the Data Science team will be primarily focused on our large datasets, and you will design and implement scalable statistical systems based on your analysis. You will have the opportunity to expand and grow data-driven research across Govini, and lead new areas to apply advanced analytics to drive business results.",4.0,"Govini
4.0","Pittsburgh, PA",-1,51 to 200 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
17,Data Scientist or Bioinformatician (remote),Employer Provided Salary:$67K - $120K,"Center Information:
The Quantitative Biomedical Research Center (QBRC) is a well-established research center at UT Southwestern Medical Center (UTSW). It aims to foster collaborations involving quantitative methods and technologies in any aspect of biomedical research, particularly for understanding disease etiologies and developing treatment and prevention strategies. Currently, the center has six faculty members, around 40 staff members, postdocs and student research assistants. We are actively recruiting new members to join this new and dynamic group.
Position Title: Data Scientist I, II, III, Computational biologist I, II, III or Postdoctoral Fellow (Bioinformatics/Biostatistics)
Duties & Responsibilities: For bioinformatics scientists, the projects include developing novel method for analysis and integration of multiple-omics data, and single cell genomics and transcriptome analysis. For data scientists, the projects include assembling and statistical analyses of big clinical data, and application of machine learning and deep learning methods on real medical problems.",3.9,"UT Southwestern Medical Center
3.9",Remote,-1,10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),-1
18,Data Scientist,-1,"Summary
Posted: Apr 14, 2023
Role Number:200474544
Do you want to make an impact on how millions of people around the world experience sound using their Apple devices? If you love statistics, data analysis and having a global impact then look no further. The Audio Analytics team within Audio and Media Technology Group provides insights through data that drive decision-making for our engineering and product partners, and we have been looking for you. We are looking for a candidate that can derive valuable analytical insights from data and is capable of driving projects of varying sizes and scopes within media, haptics, siri, voice technologies and many other use cases - some will take months and some weeks — and you will need to know when to dive deep! In this role, you will be working daily with engineers and leadership across Apple’s audio teams, helping drive innovation and improve our product decision making process while developing new experimentation methodologies, statistical techniques, and causal-inference approaches.",4.2,"Apple
4.2","Cupertino, CA",-1,10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),-1
19,Data Scientist,Employer Provided Salary:$91K - $103K,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",-1,KesarWeb,"Tucson, AZ",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
20,Data Scientist,Employer Provided Salary:$70K - $75K,"#ONLY W2
Numero Data LLC is a well-established, E-Verified, strategic, IT consulting firm, focused on delivering Business Intelligence, Data Analytics, Development Solutions, Implementation services and support to leading clients in the commercial and government sectors. We specialize ad provide highest level of placement services in the following technologies: Business Analysis, Quality Assurance, BI-Tableau, Power BI, QlikView, BOBJ, Data Science & Data Analytics, DB2 Administration, iOS & Android Development, Python Programming. To learn more about Numero Data LLC, please visit our website www.numerodata.com.
We are currently recruiting new, talented individuals who can join our team of Business Intelligence consultants at Herndon, VA.
Our Placement Program highlights:",3.9,"Numero Data
3.9",Remote,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
