Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,company_text,job_state,age,python_yn,rstudio_yn,spark_yn,aws_yn,excel_yn,job_simp,seniority,desc_len,avg_salary,company_txt
Data Scientist,Employer Provided Salary:$91K - $103K,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",-1.0,KesarWeb,"Tucson, AZ",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,1,91,103,KesarWeb, AZ,-1,0,0,0,0,0,data scientist,na,740,97.0,KesarWeb
Data Scientist (L5) - Ads,$102K - $170K (Glassdoor est.),"Los Angeles, California
Data Science and Engineering
At Netflix, we seek to entertain the world. We have more than 200 million members in 190 countries, reflecting that great stories can come from anywhere and be loved everywhere.

In April 2022, we announced that we are creating a new lower-priced, ad-supported tier for our customers. We are now working toward our goal of providing more choice for consumers and a premium, better-than-linear TV brand experience for advertisers. That said, we are looking for the founding members of this new business area for Netflix!

The Ads Data Science and Engineering team at Netflix’s mission is to help build the foundation of the ads business at Netflix. We conduct analyses and develop analytic tools, build predictive models and algorithms using machine learning, all with the goal of creating more choices and joy for our members. You’ll work closely with partner teams to build workflows, provide recommendations and drive success on end-to-end analytics initiatives in this 0 -1 space.",4.3,"Netflix
4.3","Los Angeles, CA",-1,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),-1,0,0,102,170,"Netflix
", CA,26,0,0,0,0,0,data scientist,na,1036,136.0,Netflix
Junior Data Scientist (remote),Employer Provided Salary:$90K - $110K,"Junior Data Scientist (remote)

Imagine a workplace that encourages you to interpret, innovate and inspire. Our employees do just that by helping healthcare payers manage the cost of care, improve competitiveness and inspire positive change. You can be part of an established company with a 40-year legacy that helps our customers thrive by interpreting our client's needs and tailoring innovative healthcare cost management solutions.

Our commitment to diversity, inclusion and belonging are part of the fabric of our company. We strive to create a workplace that fosters mutual respect and collaboration, where every talent individual can participate and perform their best work. We are MultiPlan and we are where bright people come to shine!",3.8,"MultiPlan Inc.
3.8",Remote,-1,1001 to 5000 Employees,1980,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1,0,1,90,110,"MultiPlan Inc.
", Remote,43,0,0,0,0,0,data scientist,na,745,100.0,MultiPlan Inc.
Data Scientist,Employer Provided Salary:$60.00 - $65.00 Per Hour,"Hi
Job title: Data Scientist
Location: Remote
Duration: Long term
Exp: 10+
Top Skills:
SQL, SAS, Python, STATA, Excel, QGIS, HIVE, HADOOP
Job Type: Contract",4.9,"Sunixa Solutions
4.9",Remote,-1,51 to 200 Employees,2015,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 million (USD),-1,1,1,120,130,"Sunixa Solutions
", Remote,8,1,0,0,0,1,data scientist,na,156,125.0,Sunixa Solutions
Data Scientist,Employer Provided Salary:$122K - $132K,"ABOUT THE PROJECT
Kyla is a medical startup that is focused on developing software that brings together the latest advancements in medical knowledge with state-of-the-art AI technologies. Kyla's software is designed to help healthcare professionals provide better care to patients by leveraging the power of AI to improve diagnostic accuracy, optimize treatment plans, and streamline administrative processes.
ABOUT THE POSITION
We are currently seeking an experienced and knowledgeable Data Scientist for a part-time remote contract job.
Requirements:",3.5,"Kyla
3.5",Remote,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,1,122,132,"Kyla
", Remote,-1,0,0,0,0,0,data scientist,na,552,127.0,Kyla
"Data Scientist, NLP",Employer Provided Salary:$68K - $191K,"About Ancestry:
When you join Ancestry, you join a human-centered company where every person’s story is important. We believe that by discovering the struggles and triumphs of our past, we can foster deeper bonds and more meaningful connections among families and communities. With more than 30+ billion digitized global historical records, 125+ million family trees, and 22+ million people in our growing AncestryDNA database, Ancestry helps customers discover their family story and gain a new level of understanding about their lives.

We are committed to our location flexible work approach, allowing you to choose to work in the nearest office, from your home, or a hybrid of both (subject to location restrictions and roles that are required to be in the office- see the full list of eligible US locations HERE). We will continue to hire and promote beyond the boundaries of our office locations, to enable broadened possibilities for employee diversity.

Together, we work every day to foster a work environment that's inclusive as well as diverse, and where our people can be themselves. Every idea and perspective is valued so that our products and services reflect the global and diverse clients we serve.

Ancestry encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants. Passionate about dedicating your work to enriching people’s lives? Join the curious.",3.7,"Ancestry
3.7",Remote,-1,1001 to 5000 Employees,1983,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD),-1,0,1,68,191,"Ancestry
", Remote,40,0,0,0,0,0,data scientist,na,1427,129.5,Ancestry
"Data Scientist, Recruiting Operations",$102K - $155K (Glassdoor est.),"What to Expect
Overview
We are seeking a highly skilled individual to lead our Recruiting organization's data strategy and lay the groundwork for data storage and access. This role involves collaborating with a diverse range of stakeholders, including recruiters, hiring managers, developers, and analysts. The ideal candidate will possess a deep understanding of the entire Recruiting and HR data landscape and have the ability to contextualize data in meaningful ways. As a key member of our team, this person will enjoy a high degree of autonomy to drive the successful implementation of our data storage and distribution strategy from the ground up.

What To Expect",3.6,"Tesla
3.6","Palo Alto, CA",-1,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),-1,0,0,102,155,"Tesla
", CA,20,0,0,0,0,0,data scientist,na,669,128.5,Tesla
Data Scientist,$84K - $122K (Glassdoor est.),"Aetna Resources LLC, a CVS Health company is hiring for the following role in Wellesley, MA: Data Scientist to Develop and implement analytics applications and models to transform data into meaningful information. Duties include: design and develop data solutions using industry leading tools, technologies and best practices to profile data and develop efficient ingestion by sourcing data from PBM, Specialty, Retail, and/or HealthCare business; develop advanced algorithms and statistical predictive models to evaluate scenarios, predict outcomes, and provide usable information on health metrics and potential future outcomes; utilize data mining, data modeling, natural language processing, and machine learning to extract and manipulate data from multiple large data sources and deliver predictive models that inform solutions for in-house teams (i.e. pharmacy pricing, medical costs, risk scores, onboarding) and customer engagement across critical journeys (i.e. calories, heart rate, breast cancer, maternity); utilize data-oriented programming languages and visualization software to explore, analyze, and interpret large volumes of data in various forms and solve complex business problems; visualize and interpret data and create reports, manipulate data using statistical software, and compare models using statistical performance metrics; and support deployment of insights across multiple channels using analysis methods, machine learning, and statistical analyses. Multiple positions available.


Master’s degree (or foreign equivalent) in Computer Science, Data Science, Statistics, Mathematics, Analytics, or a related field and one (1) year of experience in the job offered or related occupation. Requires one (1) year of experience in each of the following: Analyzing large data sets from multiple data sources; Machine learning, statistical analysis, and predictive modeling; Visualization tools, including PowerBI or Tableau; Designing solutions for analytical and reporting use cases; Programming in SQL, R or Python; and Writing clean, high quality, high performing, scalable code.


See Required Qualifications.


See Required Qualifications.


Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.",3.1,"CVS Health
3.1","Wellesley, MA",-1,10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),-1,0,0,84,122,"CVS Health
", MA,60,1,0,0,0,0,data scientist,na,3657,103.0,CVS Health
Data Scientist,Employer Provided Salary:$91K - $151K,"About
Macy’s, Inc. meets our Customer’s needs across our iconic brands—Macy’s, Bloomingdale’s and Bluemercury, served by nearly 100,000 colleagues. We offer competitive benefits, unlimited career paths and an unmatched culture. We know each person here is unique. We respect and invest in each individual to create growth, pride and satisfaction. When we are able to bring our amazing selves to work, it translates into a more abundant and wider array of ideas and energy for all to benefit from. Our success is built on amazing individuals, working together.
Our culture and limitless career opportunities paired with our social purpose—to create a brighter future with bold representation for all—are imperative to our commitment to use our business and brand to tackle the barriers to representation so, together, we can realize the potential of every one of us.",3.4,"Macy’s
3.4","New York, NY",-1,10000+ Employees,1858,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD),-1,0,1,91,151,"Macy’s
", NY,165,0,0,0,0,0,data scientist,na,865,121.0,Macy’s
Applied Data Scientist,Employer Provided Salary:$70K - $110K,"Job Summary:
Webstaurant Store, the world’s largest online restaurant supply company, is looking for a full-time Applied Data Scientist to join the Analytics team. The Applied Data Scientists are responsible for supplying statistical rigor to the team’s analytics projects, aimed at discovering actionable insights and opportunities for growth and optimization for the organization.
This role can be remote (See below for remote work requirements) or based in one of our offices (Lititz, PA or Tampa, FL).
Responsibilities include, but are not limited to:
Advising on analysis and modeling techniques, selecting the best fit for structured & unstructured, complex data, and developing custom analytics models to generate insights that drive value for our customers and unlock competitive advantage for our organization",3.8,"Webstaurant Store
3.8","Lititz, PA",-1,1001 to 5000 Employees,2004,Company - Private,Other Retail Stores,Retail & Wholesale,$500 million to $1 billion (USD),-1,0,1,70,110,"Webstaurant Store
", PA,19,0,0,0,0,0,data scientist,na,818,90.0,Webstaurant Store
Data Science,$78K - $118K (Glassdoor est.),"Role - Data Scientist
Experience - 7+ years
Location - Hybrid (Atlanta,Georgia,United states).
Proficiency with Machine Learning concepts and modeling techniques to solve problems such as clustering, classification, regression, anomaly detection, simulation and optimization problems on large scale data sets.Proficiency with Python and SQL and ability to write complex SQL queries.
Experience with Supervised and Unsupervised model
Job Type: Contract",4.4,"RD Digital Solutions
4.4","Atlanta, MI",-1,1 to 50 Employees,-1,Company - Public,-1,-1,$1 to $5 million (USD),-1,0,0,78,118,"RD Digital Solutions
", MI,-1,1,0,0,0,0,na,na,451,98.0,RD Digital Solutions
Data Scientist,Employer Provided Salary:$55.00 - $65.00 Per Hour,"3-5+ years of relevant experience in:
Creating SQL queries from scratch using real business data;
Highly proficient knowledge of Excel (pivot tables, VLOOKUP, formulas, functions)
Data analysis & manipulation
At least a Bachelor’s degree in Business Intelligence and Analytics or closely related field
Job Type: Contract
Salary: $55.00 - $65.00 per hour
Ability to commute/relocate:",4.2,"MST Solutions
4.2","Sunnyvale, CA",-1,201 to 500 Employees,2012,Company - Private,Business Consulting,Management & Consulting,$25 to $100 million (USD),-1,1,1,110,130,"MST Solutions
", CA,11,0,0,0,0,1,data scientist,na,382,120.0,MST Solutions
Data Scientist,Employer Provided Salary:$55.00 - $65.00 Per Hour,"Role: Data Scientist
Location: Orlando, FL
Type: Contract
Visa: Any visa except H1-B

ESSENTIAL DUTIES AND RESPONSIBILITIES: List the job's essential or most important functions and responsibilities. Include all important aspects of the job - whether performed daily, weekly, monthly, or annually; and any that occur at irregular intervals.
Perform data mining, cleaning, and aggregation processes.
Prepare data, develop-implement-optimize data models, and conduct in-depth analyses.
Identify trends, patterns, and anomalies found in big data sets to develop insights.
Bachelor's or Master's degree inInformation Systems / Data Science / Computer Science / Statistics / Mathematics / Engineeringor a related field

3+ years of experience in a data science or related role",3.7,"INTELETECH GLOBAL INC
3.7","Altamonte Springs, FL",-1,1 to 50 Employees,-1,Company - Private,Accounting & Tax,Financial Services,Unknown / Non-Applicable,-1,1,1,110,130,"INTELETECH GLOBAL INC
", FL,-1,0,0,0,0,0,data scientist,na,771,120.0,INTELETECH GLOBAL INC
Data Scientist,Employer Provided Salary:$109K - $157K,"We are looking for a Data Scientist to join our Banking OU Data Science team and help us shape the future of the financial industry. In this role, you will use your skills in traditional statistical modeling, business intelligence, machine learning, and artificial intelligence to work on cutting-edge projects that will have a significant impact on our business. You will be responsible for developing and implementing data-driven solutions to complex business problems, and you will play a vital role in the evolution of our Lending, Risk & Finance Solutions, and the development of our Banking Platform.
Key Projects include:
REMOTE BUT MUST RESIDE IN THE UNITED STATES
Smart Work Queue (SWQ) model combining different type of risk signals for CreditLens Monitor.
Develop feedback loops to continuously develop and train SWQ models based on user feedback.",3.8,"Moody's
3.8","Chicago, IL",-1,10000+ Employees,1900,Company - Public,Research & Development,Management & Consulting,$1 to $5 billion (USD),-1,0,1,109,157,"Moody's
", IL,123,0,0,0,0,0,data scientist,na,858,133.0,Moody's
Data Scientist,$84K - $127K (Glassdoor est.),"Mosaic Data Science, located in the Northern Virginia/Washington, DC Metro area,
encourages qualified data scientists to contact us regarding current full-time, salaried
consulting opportunities in the United States and Canada.
Mosaic Data Science is a dynamic, growing data science consultancy solving some of the
most complex and interesting problems in industry. At Mosaic you’ll contribute to data
science projects requiring a variety of analytical and business skills in many verticals,
including logistics, retail, utilities, healthcare, telecommunications, media, oil and gas, and
manufacturing. You’ll work with talented, creative, and self-motivated colleagues who hold
themselves to very high standards of professionalism and quality. You will have an
opportunity to interface directly with customers; part-time travel to customer sites may be
required. Telecommute options are available for experienced candidates. You can expect
your responsibilities to grow as quickly as you’re willing and able to meet them. You’ll enjoy
a fantastic benefits package that includes profit sharing and generous personal leave,
professional development opportunities, as well as first-rate healthcare and retirement
benefits. Most folks who join Mosaic stay here for a long time.


Bachelor’s degree or higher in applied math, statistics, operations research,
computer science, engineering, physics, cognitive science, or a related field;
Master’s/PhD preferred
Working knowledge of statistics, machine learning, optimization, data visualization,
computer programming, and database systems
Practical experience with R or Python and relevant data manipulation, visualization,
and machine learning libraries
1+ years of experience applying technical skills to real-world business problems
Strong written and verbal communication skills, a high level of professionalism, and
a positive & collaborative approach
Willingness and ability to learn new skills and tools quickly on the job
Must be a US or Canadian Citizen or Permanent Resident
All qualified applicants will receive consideration for employment and will not be
discriminated against on the basis of race, color, religion, sex, sexual orientation, gender
identity, national origin, age, disability, or protected veteran status. Mosaic Data Science
takes affirmative action in support of its policy to employ and advance in employment
individuals who are minorities, women, protected veterans, and individuals with disabilities.
www.mosaicdatascience.com",5.0,"Mosaic Data Science
5.0","Leesburg, VA",-1,51 to 200 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,0,84,127,"Mosaic Data Science
", VA,-1,1,0,0,0,0,data scientist,na,2505,105.5,Mosaic Data Science
Data Scientist,Employer Provided Salary:$95K - $135K,"About Zest AI:
Zest AI has been perfecting AI for consumer lending decisions since 2009. Our Model Management System helps lenders make better decisions and better loans—increasing revenue, reducing risk, and automating compliance. Our mission is to make fair and transparent credit available to everyone and our software creates some of the most inclusive risk models in the industry. Using Zest-built machine learning software, financial institutions can dramatically expand credit access to deserving people with no added risk. Learn more at Zest.ai and connect with us on Twitter @Zest_AI or our Insights blog.
Zest is committed to diversity, equity, and inclusion and encourages professionals from underrepresented groups in technology and financial services to apply.
ZestFinance, Inc. seeks a Data Scientist in Burbank, CA.",-1.0,Zest AI,Remote,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,1,95,135,Zest AI, Remote,-1,0,0,0,0,0,data scientist,na,830,115.0,Zest AI
Data Scientist - MPD,Employer Provided Salary:$76K - $104K,"Position Description
As the largest and most vibrant city in the state, Minneapolis depends on purposeful, dedicated and innovative employees. Minneapolis has a large variety of careers for people of all experiences and backgrounds who come together for a singular purpose - serving the residents, businesses and visitors of Minneapolis.

This position is charged with deep and sophisticated analyses of MPD and other data to determine insights, drive optimization, and lead applications of data science techniques. In addition, the Data Scientist - MPD will be expected to lead the presentation and translation of complex analyses to leaders (City Council committees, the Chief’s and Mayor’s offices, etc.), distilling in-depth analytical insights to an understandable and actionable recommendations.

This position regularly works onsite.",3.5,"City of Minneapolis
3.5","Minneapolis, MN",-1,1001 to 5000 Employees,1867,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,-1,0,1,76,104,"City of Minneapolis
", MN,156,0,0,0,0,0,data scientist,na,840,90.0,City of Minneapolis
"Data Scientist, Product",Employer Provided Salary:$160K - $255K,"About Us:
We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.
We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.

Notion is an in person company, and currently requires its employees to come to the office for two Anchor Days (Mondays & Thursdays) and requests that employees spend the majority of their week in the office (including a third day).",4.8,"Notion
4.8","New York, NY",-1,201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,1,160,255,"Notion
", NY,7,0,0,0,0,0,data scientist,na,966,207.5,Notion
Data Scientist,Employer Provided Salary:$78K - $184K,"Data science at the National Security Agency (NSA) is a multi-disciplinary field that uses elements of mathematics, statistics, computer science, and application-specific knowledge to gather, make, and communicate principled conclusions from data. Data science is present in every aspect of the mission. NSA Data Scientists tackle challenging real-world problems leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies. We are looking for critical thinkers, problem solvers, and motivated individuals who are enthusiastic about data and believe that answers to hard questions lie in the yet-to-be-told story of diverse, complicated data sets. You will employ your mathematical science, computer science, and quantitative analysis skills to develop solutions to complex data problems and take full advantage of NSA's capabilities to tackle the highest priority foreign intelligence and cybersecurity challenges. As a Data Scientist, your responsibilities may include: - Exploratory data analysis and exploratory model-fitting to reveal data features of interest - Machine-learned predictive modeling - Construct usable data sets from multiple sources to meet customer needs - Identifying and analyzing anomalous data (including metadata) - Developing conceptual design and models to address mission requirements - Developing qualitative and quantitative methods for characterizing datasets in various states. - Performing analytic modeling, scripting, and/or programming - Working collaboratively and iteratively throughout the data-science lifecycle - Designing and developing analytics and techniques for analysis - Analyzing data using mathematical and statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership - Creating interpretable visualizations.",3.7,"National Security Agency
3.7","Fort Meade, MD",-1,Unknown,1962,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,-1,0,1,78,184,"National Security Agency
", MD,61,0,0,0,0,0,data scientist,na,1886,131.0,National Security Agency
